zone,date,source_category
Anand Vihar,2026-06-06,dust
Anand Vihar,2026-06-08,dust
Anand Vihar,2026-06-09,dust
Anand Vihar,2026-06-10,dust
Anand Vihar,2026-06-11,dust
Anand Vihar,2026-06-12,dust
Anand Vihar,2026-06-13,dust
Anand Vihar,2026-06-14,dust
Anand Vihar,2026-06-15,dust
Anand Vihar,2026-06-16,dust
Anand Vihar,2026-06-17,dust
Anand Vihar,2026-06-18,dust
Anand Vihar,2026-06-19,dust
Anand Vihar,2026-06-20,dust
Anand Vihar,2026-06-21,dust
Anand Vihar,2026-06-22,dust
Anand Vihar,2026-06-23,dust
Anand Vihar,2026-06-24,dust
Anand Vihar,2026-06-25,dust
Anand Vihar,2026-06-26,dust
Anand Vihar,2026-06-27,dust
Anand Vihar,2026-06-28,dust
Anand Vihar,2026-06-29,dust
Anand Vihar,2026-06-30,dust
Anand Vihar,2026-07-01,dust
Anand Vihar,2026-07-02,dust
Anand Vihar,2026-07-03,dust
Anand Vihar,2026-07-04,dust
Anand Vihar,2026-07-05,dust
Anand Vihar,2026-07-06,dust
Anand Vihar,2026-07-07,dust
Anand Vihar,2026-07-08,clear
Anand Vihar,2026-07-09,dust
Anand Vihar,2026-07-10,dust
Anand Vihar,2026-07-11,dust
Anand Vihar,2026-07-12,dust
Anand Vihar,2026-07-13,dust
Anand Vihar,2026-07-14,dust
Anand Vihar,2026-07-15,dust
Anand Vihar,2026-07-16,dust
Anand Vihar,2026-07-17,dust
Anand Vihar,2026-07-18,dust
Anand Vihar,2026-07-19,dust
Anand Vihar,2026-07-20,dust
Anand Vihar,2026-07-21,dust
Ashok Vihar,2026-06-06,dust
Ashok Vihar,2026-06-07,dust
Ashok Vihar,2026-06-08,dust
Ashok Vihar,2026-06-09,dust
Ashok Vihar,2026-06-10,dust
Ashok Vihar,2026-06-11,dust
Ashok Vihar,2026-06-12,clear
Ashok Vihar,2026-06-13,dust
Ashok Vihar,2026-06-14,dust
Ashok Vihar,2026-06-15,dust
Ashok Vihar,2026-06-16,traffic_heavy
Ashok Vihar,2026-06-17,dust
Ashok Vihar,2026-06-18,dust
Ashok Vihar,2026-06-19,dust
Ashok Vihar,2026-06-20,dust
Ashok Vihar,2026-06-21,dust
Ashok Vihar,2026-06-22,dust
Ashok Vihar,2026-06-23,dust
Ashok Vihar,2026-06-24,dust
Ashok Vihar,2026-06-25,dust
Ashok Vihar,2026-06-26,dust
Ashok Vihar,2026-06-27,dust
Ashok Vihar,2026-06-28,dust
Ashok Vihar,2026-06-29,dust
Ashok Vihar,2026-06-30,dust
Ashok Vihar,2026-07-01,dust
Ashok Vihar,2026-07-02,clear
Ashok Vihar,2026-07-03,dust
Ashok Vihar,2026-07-04,traffic_heavy
Ashok Vihar,2026-07-05,dust
Ashok Vihar,2026-07-06,clear
Ashok Vihar,2026-07-07,dust
Ashok Vihar,2026-07-08,dust
Ashok Vihar,2026-07-09,clear
Ashok Vihar,2026-07-10,clear
Ashok Vihar,2026-07-11,dust
Ashok Vihar,2026-07-12,dust
Ashok Vihar,2026-07-13,dust
Ashok Vihar,2026-07-14,dust
Ashok Vihar,2026-07-15,dust
Ashok Vihar,2026-07-16,dust
Ashok Vihar,2026-07-17,dust
Ashok Vihar,2026-07-18,dust
Ashok Vihar,2026-07-19,dust
Ashok Vihar,2026-07-20,dust
Ashok Vihar,2026-07-21,clear
Bawana,2026-06-06,dust
Bawana,2026-06-07,dust
Bawana,2026-06-08,dust
Bawana,2026-06-09,dust
Bawana,2026-06-10,dust
Bawana,2026-06-11,dust
Bawana,2026-06-12,clear
Bawana,2026-06-13,dust
Bawana,2026-06-14,dust
Bawana,2026-06-15,dust
Bawana,2026-06-16,clear
Bawana,2026-06-17,dust
Bawana,2026-06-18,dust
Bawana,2026-06-19,dust
Bawana,2026-06-20,dust
Bawana,2026-06-21,dust
Bawana,2026-06-22,dust
Bawana,2026-06-23,dust
Bawana,2026-06-24,dust
Bawana,2026-06-25,dust
Bawana,2026-06-26,clear
Bawana,2026-06-27,dust
Bawana,2026-06-28,dust
Bawana,2026-06-29,dust
Bawana,2026-06-30,dust
Bawana,2026-07-01,dust
Bawana,2026-07-02,clear
Bawana,2026-07-03,crop_burning_smoke
Bawana,2026-07-04,crop_burning_smoke
Bawana,2026-07-05,dust
Bawana,2026-07-06,dust
Bawana,2026-07-07,dust
Bawana,2026-07-08,dust
Bawana,2026-07-09,clear
Bawana,2026-07-10,dust
Bawana,2026-07-11,dust
Bawana,2026-07-12,dust
Bawana,2026-07-13,dust
Bawana,2026-07-14,dust
Bawana,2026-07-15,dust
Bawana,2026-07-16,dust
Bawana,2026-07-17,dust
Bawana,2026-07-18,dust
Bawana,2026-07-19,dust
Bawana,2026-07-20,clear
Bawana,2026-07-21,clear
Dwarka,2026-06-06,dust
Dwarka,2026-06-07,dust
Dwarka,2026-06-08,dust
Dwarka,2026-06-09,dust
Dwarka,2026-06-10,dust
Dwarka,2026-06-11,dust
Dwarka,2026-06-12,clear
Dwarka,2026-06-13,traffic_heavy
Dwarka,2026-06-14,dust
Dwarka,2026-06-15,dust
Dwarka,2026-06-16,dust
Dwarka,2026-06-17,dust
Dwarka,2026-06-18,dust
Dwarka,2026-06-19,dust
Dwarka,2026-06-20,dust
Dwarka,2026-06-21,dust
Dwarka,2026-06-22,dust
Dwarka,2026-06-23,industrial_haze
Dwarka,2026-06-24,traffic_heavy
Dwarka,2026-06-25,dust
Dwarka,2026-06-26,dust
Dwarka,2026-06-27,dust
Dwarka,2026-06-28,dust
Dwarka,2026-06-29,dust
Dwarka,2026-06-30,dust
Dwarka,2026-07-01,dust
Dwarka,2026-07-02,dust
Dwarka,2026-07-03,dust
Dwarka,2026-07-04,dust
Dwarka,2026-07-05,traffic_heavy
Dwarka,2026-07-06,dust
Dwarka,2026-07-07,dust
Dwarka,2026-07-08,clear
Dwarka,2026-07-09,clear
Dwarka,2026-07-10,dust
Dwarka,2026-07-11,dust
Dwarka,2026-07-12,dust
Dwarka,2026-07-13,dust
Dwarka,2026-07-14,dust
Dwarka,2026-07-15,dust
Dwarka,2026-07-16,dust
Dwarka,2026-07-17,traffic_heavy
Dwarka,2026-07-18,dust
Dwarka,2026-07-19,dust
Dwarka,2026-07-20,dust
Dwarka,2026-07-21,clear
Jahangirpuri,2026-06-06,traffic_heavy
Jahangirpuri,2026-06-07,dust
Jahangirpuri,2026-06-08,dust
Jahangirpuri,2026-06-09,dust
Jahangirpuri,2026-06-10,dust
Jahangirpuri,2026-06-11,dust
Jahangirpuri,2026-06-12,clear
Jahangirpuri,2026-06-13,traffic_heavy
Jahangirpuri,2026-06-14,traffic_heavy
Jahangirpuri,2026-06-15,dust
Jahangirpuri,2026-06-16,traffic_heavy
Jahangirpuri,2026-06-17,traffic_heavy
Jahangirpuri,2026-06-18,dust
Jahangirpuri,2026-06-19,dust
Jahangirpuri,2026-06-20,traffic_heavy
Jahangirpuri,2026-06-21,dust
Jahangirpuri,2026-06-22,traffic_heavy
Jahangirpuri,2026-06-23,dust
Jahangirpuri,2026-06-24,traffic_heavy
Jahangirpuri,2026-06-25,traffic_heavy
Jahangirpuri,2026-06-26,dust
Jahangirpuri,2026-06-27,traffic_heavy
Jahangirpuri,2026-06-28,traffic_heavy
Jahangirpuri,2026-06-29,dust
Jahangirpuri,2026-06-30,dust
Jahangirpuri,2026-07-01,traffic_heavy
Jahangirpuri,2026-07-02,dust
Jahangirpuri,2026-07-03,dust
Jahangirpuri,2026-07-04,crop_burning_smoke
Jahangirpuri,2026-07-05,crop_burning_smoke
Jahangirpuri,2026-07-06,traffic_heavy
Jahangirpuri,2026-07-07,traffic_heavy
Jahangirpuri,2026-07-08,clear
Jahangirpuri,2026-07-09,dust
Jahangirpuri,2026-07-10,dust
Jahangirpuri,2026-07-11,dust
Jahangirpuri,2026-07-12,dust
Jahangirpuri,2026-07-13,dust
Jahangirpuri,2026-07-14,dust
Jahangirpuri,2026-07-15,dust
Jahangirpuri,2026-07-16,dust
Jahangirpuri,2026-07-17,dust
Jahangirpuri,2026-07-18,dust
Jahangirpuri,2026-07-19,dust
Jahangirpuri,2026-07-20,dust
Jahangirpuri,2026-07-21,clear
Mundka,2026-06-06,traffic_heavy
Mundka,2026-06-07,dust
Mundka,2026-06-08,dust
Mundka,2026-06-09,dust
Mundka,2026-06-10,dust
Mundka,2026-06-11,dust
Mundka,2026-06-12,clear
Mundka,2026-06-13,dust
Mundka,2026-06-14,dust
Mundka,2026-06-15,dust
Mundka,2026-06-16,traffic_heavy
Mundka,2026-06-17,dust
Mundka,2026-06-18,traffic_heavy
Mundka,2026-06-19,dust
Mundka,2026-06-20,dust
Mundka,2026-06-21,dust
Mundka,2026-06-22,dust
Mundka,2026-06-23,dust
Mundka,2026-06-24,dust
Mundka,2026-06-25,dust
Mundka,2026-06-26,dust
Mundka,2026-06-27,dust
Mundka,2026-06-28,dust
Mundka,2026-06-29,dust
Mundka,2026-06-30,dust
Mundka,2026-07-01,dust
Mundka,2026-07-02,dust
Mundka,2026-07-03,clear
Mundka,2026-07-04,traffic_heavy
Mundka,2026-07-05,traffic_heavy
Mundka,2026-07-06,traffic_heavy
Mundka,2026-07-07,clear
Mundka,2026-07-08,traffic_heavy
Mundka,2026-07-09,clear
Mundka,2026-07-10,clear
Mundka,2026-07-11,dust
Mundka,2026-07-12,dust
Mundka,2026-07-13,dust
Mundka,2026-07-14,dust
Mundka,2026-07-15,dust
Mundka,2026-07-16,dust
Mundka,2026-07-17,dust
Mundka,2026-07-18,dust
Mundka,2026-07-19,dust
Mundka,2026-07-20,dust
Mundka,2026-07-21,traffic_heavy
Narela,2026-06-06,dust
Narela,2026-06-07,dust
Narela,2026-06-08,dust
Narela,2026-06-09,dust
Narela,2026-06-10,dust
Narela,2026-06-11,dust
Narela,2026-06-12,clear
Narela,2026-06-13,dust
Narela,2026-06-14,dust
Narela,2026-06-15,dust
Narela,2026-06-16,dust
Narela,2026-06-17,dust
Narela,2026-06-18,dust
Narela,2026-06-19,dust
Narela,2026-06-20,dust
Narela,2026-06-21,dust
Narela,2026-06-22,dust
Narela,2026-06-23,dust
Narela,2026-06-24,dust
Narela,2026-06-25,dust
Narela,2026-06-26,dust
Narela,2026-06-27,dust
Narela,2026-06-28,dust
Narela,2026-06-29,dust
Narela,2026-06-30,dust
Narela,2026-07-01,dust
Narela,2026-07-02,dust
Narela,2026-07-03,dust
Narela,2026-07-04,crop_burning_smoke
Narela,2026-07-05,dust
Narela,2026-07-06,dust
Narela,2026-07-07,clear
Narela,2026-07-08,clear
Narela,2026-07-09,clear
Narela,2026-07-10,clear
Narela,2026-07-11,dust
Narela,2026-07-12,dust
Narela,2026-07-13,dust
Narela,2026-07-14,dust
Narela,2026-07-15,dust
Narela,2026-07-16,dust
Narela,2026-07-17,dust
Narela,2026-07-18,dust
Narela,2026-07-19,dust
Narela,2026-07-20,dust
Narela,2026-07-21,clear
Okhla,2026-06-06,dust
Okhla,2026-06-07,dust
Okhla,2026-06-08,dust
Okhla,2026-06-09,dust
Okhla,2026-06-10,dust
Okhla,2026-06-11,dust
Okhla,2026-06-12,clear
Okhla,2026-06-13,dust
Okhla,2026-06-14,dust
Okhla,2026-06-15,dust
Okhla,2026-06-16,dust
Okhla,2026-06-17,traffic_heavy
Okhla,2026-06-18,dust
Okhla,2026-06-19,dust
Okhla,2026-06-20,dust
Okhla,2026-06-21,dust
Okhla,2026-06-22,dust
Okhla,2026-06-23,dust
Okhla,2026-06-24,dust
Okhla,2026-06-25,dust
Okhla,2026-06-26,dust
Okhla,2026-06-27,dust
Okhla,2026-06-28,dust
Okhla,2026-06-29,dust
Okhla,2026-06-30,dust
Okhla,2026-07-01,dust
Okhla,2026-07-02,dust
Okhla,2026-07-03,dust
Okhla,2026-07-04,dust
Okhla,2026-07-05,dust
Okhla,2026-07-06,clear
Okhla,2026-07-07,dust
Okhla,2026-07-08,clear
Okhla,2026-07-09,clear
Okhla,2026-07-10,clear
Okhla,2026-07-11,dust
Okhla,2026-07-12,dust
Okhla,2026-07-13,dust
Okhla,2026-07-14,dust
Okhla,2026-07-15,dust
Okhla,2026-07-16,dust
Okhla,2026-07-17,dust
Okhla,2026-07-18,dust
Okhla,2026-07-19,dust
Okhla,2026-07-20,clear
Okhla,2026-07-21,clear
Punjabi Bagh,2026-06-06,dust
Punjabi Bagh,2026-06-07,dust
Punjabi Bagh,2026-06-08,dust
Punjabi Bagh,2026-06-09,industrial_haze
Punjabi Bagh,2026-06-10,industrial_haze
Punjabi Bagh,2026-06-11,industrial_haze
Punjabi Bagh,2026-06-12,clear
Punjabi Bagh,2026-06-13,dust
Punjabi Bagh,2026-06-14,dust
Punjabi Bagh,2026-06-15,industrial_haze
Punjabi Bagh,2026-06-16,dust
Punjabi Bagh,2026-06-17,industrial_haze
Punjabi Bagh,2026-06-18,industrial_haze
Punjabi Bagh,2026-06-19,industrial_haze
Punjabi Bagh,2026-06-20,industrial_haze
Punjabi Bagh,2026-06-21,industrial_haze
Punjabi Bagh,2026-06-22,industrial_haze
Punjabi Bagh,2026-06-23,industrial_haze
Punjabi Bagh,2026-06-24,industrial_haze
Punjabi Bagh,2026-06-25,industrial_haze
Punjabi Bagh,2026-06-26,industrial_haze
Punjabi Bagh,2026-06-27,industrial_haze
Punjabi Bagh,2026-06-28,industrial_haze
Punjabi Bagh,2026-06-29,industrial_haze
Punjabi Bagh,2026-06-30,industrial_haze
Punjabi Bagh,2026-07-01,industrial_haze
Punjabi Bagh,2026-07-02,industrial_haze
Punjabi Bagh,2026-07-03,industrial_haze
Punjabi Bagh,2026-07-04,industrial_haze
Punjabi Bagh,2026-07-05,industrial_haze
Punjabi Bagh,2026-07-06,industrial_haze
Punjabi Bagh,2026-07-07,industrial_haze
Punjabi Bagh,2026-07-08,industrial_haze
Punjabi Bagh,2026-07-09,industrial_haze
Punjabi Bagh,2026-07-10,clear
Punjabi Bagh,2026-07-11,industrial_haze
Punjabi Bagh,2026-07-12,industrial_haze
Punjabi Bagh,2026-07-13,industrial_haze
Punjabi Bagh,2026-07-14,industrial_haze
Punjabi Bagh,2026-07-15,industrial_haze
Punjabi Bagh,2026-07-16,industrial_haze
Punjabi Bagh,2026-07-17,dust
Punjabi Bagh,2026-07-18,industrial_haze
Punjabi Bagh,2026-07-19,industrial_haze
Punjabi Bagh,2026-07-20,industrial_haze
Punjabi Bagh,2026-07-21,clear
RK Puram,2026-06-06,dust
RK Puram,2026-06-07,dust
RK Puram,2026-06-08,dust
RK Puram,2026-06-09,dust
RK Puram,2026-06-10,industrial_haze
RK Puram,2026-06-11,industrial_haze
RK Puram,2026-06-12,clear
RK Puram,2026-06-13,traffic_heavy
RK Puram,2026-06-14,traffic_heavy
RK Puram,2026-06-15,dust
RK Puram,2026-06-16,traffic_heavy
RK Puram,2026-06-17,traffic_heavy
RK Puram,2026-06-18,dust
RK Puram,2026-06-19,dust
RK Puram,2026-06-20,industrial_haze
RK Puram,2026-06-21,industrial_haze
RK Puram,2026-06-22,industrial_haze
RK Puram,2026-06-23,dust
RK Puram,2026-06-24,industrial_haze
RK Puram,2026-06-25,industrial_haze
RK Puram,2026-06-26,industrial_haze
RK Puram,2026-06-27,dust
RK Puram,2026-06-28,industrial_haze
RK Puram,2026-06-29,industrial_haze
RK Puram,2026-06-30,industrial_haze
RK Puram,2026-07-01,industrial_haze
RK Puram,2026-07-02,clear
RK Puram,2026-07-03,industrial_haze
RK Puram,2026-07-04,industrial_haze
RK Puram,2026-07-05,industrial_haze
RK Puram,2026-07-06,industrial_haze
RK Puram,2026-07-07,clear
RK Puram,2026-07-08,clear
RK Puram,2026-07-09,clear
RK Puram,2026-07-10,clear
RK Puram,2026-07-11,industrial_haze
RK Puram,2026-07-12,industrial_haze
RK Puram,2026-07-13,industrial_haze
RK Puram,2026-07-14,dust
RK Puram,2026-07-15,dust
RK Puram,2026-07-16,industrial_haze
RK Puram,2026-07-17,industrial_haze
RK Puram,2026-07-18,industrial_haze
RK Puram,2026-07-19,dust
RK Puram,2026-07-20,industrial_haze
RK Puram,2026-07-21,clear
Rohini,2026-06-06,dust
Rohini,2026-06-07,dust
Rohini,2026-06-08,dust
Rohini,2026-06-09,dust
Rohini,2026-06-10,dust
Rohini,2026-06-11,dust
Rohini,2026-06-12,dust
Rohini,2026-06-13,dust
Rohini,2026-06-14,dust
Rohini,2026-06-15,dust
Rohini,2026-06-16,dust
Rohini,2026-06-17,dust
Rohini,2026-06-18,dust
Rohini,2026-06-19,dust
Rohini,2026-06-20,dust
Rohini,2026-06-21,dust
Rohini,2026-06-22,dust
Rohini,2026-06-23,dust
Rohini,2026-06-24,dust
Rohini,2026-06-25,dust
Rohini,2026-06-26,dust
Rohini,2026-06-27,dust
Rohini,2026-06-28,dust
Rohini,2026-06-29,dust
Rohini,2026-06-30,dust
Rohini,2026-07-01,dust
Rohini,2026-07-02,dust
Rohini,2026-07-03,dust
Rohini,2026-07-04,traffic_heavy
Rohini,2026-07-05,traffic_heavy
Rohini,2026-07-06,dust
Rohini,2026-07-07,dust
Rohini,2026-07-08,clear
Rohini,2026-07-09,clear
Rohini,2026-07-10,dust
Rohini,2026-07-11,dust
Rohini,2026-07-12,dust
Rohini,2026-07-13,dust
Rohini,2026-07-14,dust
Rohini,2026-07-15,dust
Rohini,2026-07-16,dust
Rohini,2026-07-17,dust
Rohini,2026-07-18,dust
Rohini,2026-07-19,dust
Rohini,2026-07-20,dust
Rohini,2026-07-21,clear
Vivek Vihar,2026-06-06,dust
Vivek Vihar,2026-06-07,dust
Vivek Vihar,2026-06-08,dust
Vivek Vihar,2026-06-09,dust
Vivek Vihar,2026-06-10,dust
Vivek Vihar,2026-06-11,dust
Vivek Vihar,2026-06-12,clear
Vivek Vihar,2026-06-13,dust
Vivek Vihar,2026-06-14,dust
Vivek Vihar,2026-06-15,dust
Vivek Vihar,2026-06-16,dust
Vivek Vihar,2026-06-17,dust
Vivek Vihar,2026-06-18,dust
Vivek Vihar,2026-06-19,dust
Vivek Vihar,2026-06-20,dust
Vivek Vihar,2026-06-21,dust
Vivek Vihar,2026-06-22,dust
Vivek Vihar,2026-06-23,dust
Vivek Vihar,2026-06-24,dust
Vivek Vihar,2026-06-25,dust
Vivek Vihar,2026-06-26,dust
Vivek Vihar,2026-06-27,dust
Vivek Vihar,2026-06-28,dust
Vivek Vihar,2026-06-29,dust
Vivek Vihar,2026-06-30,dust
Vivek Vihar,2026-07-01,dust
Vivek Vihar,2026-07-02,dust
Vivek Vihar,2026-07-03,dust
Vivek Vihar,2026-07-04,dust
Vivek Vihar,2026-07-05,traffic_heavy
Vivek Vihar,2026-07-06,dust
Vivek Vihar,2026-07-07,dust
Vivek Vihar,2026-07-08,clear
Vivek Vihar,2026-07-09,clear
Vivek Vihar,2026-07-10,clear
Vivek Vihar,2026-07-11,dust
Vivek Vihar,2026-07-12,dust
Vivek Vihar,2026-07-13,dust
Vivek Vihar,2026-07-14,dust
Vivek Vihar,2026-07-15,dust
Vivek Vihar,2026-07-16,dust
Vivek Vihar,2026-07-17,dust
Vivek Vihar,2026-07-18,dust
Vivek Vihar,2026-07-19,dust
Vivek Vihar,2026-07-20,dust
Vivek Vihar,2026-07-21,dust
Wazirpur,2026-06-06,dust
Wazirpur,2026-06-07,dust
Wazirpur,2026-06-08,dust
Wazirpur,2026-06-09,dust
Wazirpur,2026-06-10,dust
Wazirpur,2026-06-11,dust
Wazirpur,2026-06-12,traffic_heavy
Wazirpur,2026-06-13,dust
Wazirpur,2026-06-14,dust
Wazirpur,2026-06-15,dust
Wazirpur,2026-06-16,traffic_heavy
Wazirpur,2026-06-17,traffic_heavy
Wazirpur,2026-06-18,dust
Wazirpur,2026-06-19,dust
Wazirpur,2026-06-20,dust
Wazirpur,2026-06-21,dust
Wazirpur,2026-06-22,dust
Wazirpur,2026-06-23,traffic_heavy
Wazirpur,2026-06-24,traffic_heavy
Wazirpur,2026-06-25,traffic_heavy
Wazirpur,2026-06-26,dust
Wazirpur,2026-06-27,dust
Wazirpur,2026-06-28,dust
Wazirpur,2026-06-29,dust
Wazirpur,2026-06-30,dust
Wazirpur,2026-07-01,dust
Wazirpur,2026-07-02,traffic_heavy
Wazirpur,2026-07-03,dust
Wazirpur,2026-07-04,traffic_heavy
Wazirpur,2026-07-05,traffic_heavy
Wazirpur,2026-07-06,dust
Wazirpur,2026-07-07,dust
Wazirpur,2026-07-08,clear
Wazirpur,2026-07-09,dust
Wazirpur,2026-07-10,traffic_heavy
Wazirpur,2026-07-11,dust
Wazirpur,2026-07-12,dust
Wazirpur,2026-07-13,dust
Wazirpur,2026-07-14,dust
Wazirpur,2026-07-15,dust
Wazirpur,2026-07-16,dust
Wazirpur,2026-07-17,dust
Wazirpur,2026-07-18,dust
Wazirpur,2026-07-19,dust
Wazirpur,2026-07-20,dust
Wazirpur,2026-07-21,crop_burning_smoke
